order_id,order_date,expected_delivery_date,actual_delivery_date,distance_km,traffic_level,weather,warehouse_delay,vehicle_type,delivery_delay_days,delayed,order_month,root_cause,delay_risk_score,ml_explanation
1001,2023-04-13,2023-04-17,2023-04-20,100.2,Low,Rain,Yes,Truck,3,1,4,Weather Disruption,0.9604149060966916,"Adverse weather conditions, Warehouse processing delay"
1002,2023-12-15,2023-12-20,2023-12-25,3.8,Medium,Rain,Yes,Bike,5,1,12,Weather Disruption,0.9695890444995008,"Adverse weather conditions, Warehouse processing delay"
1003,2023-09-28,2023-09-30,2023-10-01,407.9,Low,Storm,No,Truck,1,1,9,Weather Disruption,0.868490846337523,"Adverse weather conditions, Long delivery distance"
1004,2023-04-17,2023-04-22,2023-04-24,353.7,Medium,Clear,Yes,Truck,2,1,4,Warehouse Processing Delay,0.841044669345902,"Warehouse processing delay, Long delivery distance"
1005,2023-03-13,2023-03-16,2023-03-14,364.8,Low,Clear,No,Truck,-2,0,3,On-Time,0.32294003752560824,Long delivery distance
1006,2023-07-08,2023-07-11,2023-07-14,385.9,Medium,Rain,No,Bike,3,1,7,Weather Disruption,0.7348342998613634,"Adverse weather conditions, Long delivery distance"
1007,2023-01-21,2023-01-25,2023-02-01,37.9,Medium,Rain,Yes,Bike,7,1,1,Weather Disruption,0.9689522058441613,"Adverse weather conditions, Warehouse processing delay"
1008,2023-04-13,2023-04-16,2023-04-19,179.9,High,Rain,No,Truck,3,1,4,Traffic Congestion,0.958197774090935,"High traffic conditions, Adverse weather conditions"
1009,2023-05-02,2023-05-04,2023-05-04,58.8,Low,Rain,No,Bike,0,0,5,On-Time,0.7365721854877317,Adverse weather conditions
1010,2023-08-03,2023-08-05,2023-08-09,431.7,Medium,Rain,Yes,Truck,4,1,8,Weather Disruption,0.9599678171962679,"Adverse weather conditions, Warehouse processing delay, Long delivery distance"
1011,2023-11-27,2023-11-28,2023-11-26,312.0,Low,Clear,No,Truck,-2,0,11,On-Time,0.33022098166917896,Long delivery distance
1012,2023-03-29,2023-03-31,2023-03-31,166.1,High,Clear,No,Van,0,0,3,On-Time,0.8587187614654612,High traffic conditions
1013,2023-04-10,2023-04-13,2023-04-14,32.7,High,Clear,No,Bike,1,1,4,Traffic Congestion,0.8430165517968704,High traffic conditions
1014,2023-12-26,2023-12-27,2023-12-26,156.2,Low,Clear,No,Van,-1,0,12,On-Time,0.40481084681490753,No strong risk factors detected
1015,2023-06-01,2023-06-04,2023-06-04,163.3,Medium,Clear,No,Truck,0,0,6,On-Time,0.3970479631305639,No strong risk factors detected
1016,2023-05-11,2023-05-13,2023-05-13,365.1,High,Clear,No,Bike,0,0,5,On-Time,0.8134249357528207,"High traffic conditions, Long delivery distance"
1017,2023-05-30,2023-06-02,2023-06-05,319.1,Medium,Clear,Yes,Van,3,1,5,Warehouse Processing Delay,0.8712157810944288,"Warehouse processing delay, Long delivery distance"
1018,2023-11-05,2023-11-07,2023-11-07,443.7,Medium,Clear,No,Truck,0,0,11,On-Time,0.3558090459402242,Long delivery distance
1019,2023-09-15,2023-09-17,2023-09-16,236.6,Low,Clear,No,Truck,-1,0,9,On-Time,0.34076041916708477,No strong risk factors detected
1020,2023-12-10,2023-12-13,2023-12-11,60.7,Low,Clear,No,Bike,-2,0,12,On-Time,0.369801915045853,No strong risk factors detected
1021,2023-10-21,2023-10-24,2023-10-25,356.9,High,Clear,No,Truck,1,1,10,Traffic Congestion,0.811688072787181,"High traffic conditions, Long delivery distance"
1022,2023-07-11,2023-07-13,2023-07-16,380.6,High,Rain,No,Van,3,1,7,Traffic Congestion,0.9619584869430812,"High traffic conditions, Adverse weather conditions, Long delivery distance"
1023,2023-10-04,2023-10-05,2023-10-05,281.1,Medium,Clear,No,Bike,0,0,10,On-Time,0.38340988478054966,No strong risk factors detected
1024,2023-06-10,2023-06-11,2023-06-11,385.7,Medium,Clear,No,Van,0,0,6,On-Time,0.4174625737199061,Long delivery distance
1025,2023-11-10,2023-11-14,2023-11-13,247.4,Medium,Clear,No,Van,-1,0,11,On-Time,0.4386901566299409,No strong risk factors detected
1026,2023-01-22,2023-01-23,2023-01-26,261.8,Medium,Rain,No,Van,3,1,1,Weather Disruption,0.7866071649920405,Adverse weather conditions
1027,2023-09-10,2023-09-15,2023-09-16,214.3,High,Clear,No,Bike,1,1,9,Traffic Congestion,0.8273521973057248,High traffic conditions
1028,2023-08-24,2023-08-26,2023-08-29,13.7,High,Rain,No,Truck,3,1,8,Traffic Congestion,0.9621783347675591,"High traffic conditions, Adverse weather conditions"
1029,2023-12-11,2023-12-15,2023-12-15,54.8,Medium,Clear,No,Truck,0,0,12,On-Time,0.41344369204739184,No strong risk factors detected
1030,2023-02-18,2023-02-22,2023-02-24,16.7,Medium,Clear,Yes,Bike,2,1,2,Warehouse Processing Delay,0.8691970045940103,Warehouse processing delay
1031,2023-02-28,2023-03-03,2023-03-02,318.6,Low,Clear,No,Truck,-1,0,2,On-Time,0.3293063087695441,Long delivery distance
1032,2023-06-19,2023-06-20,2023-06-20,157.9,Low,Clear,No,Van,0,0,6,On-Time,0.40455404192245764,No strong risk factors detected
